"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"23-Jun-2022","EQ","317.00","327.65","311.10","316.45","318.00","317.60","318.76","636.00","308.95",18756690,"5,978,867,878.40",164684
"22-Jun-2022","EQ","334.00","334.00","315.45","339.25","319.25","316.45","321.01","636.00","308.95",19176515,"6,155,837,465.15",193044
"21-Jun-2022","EQ","327.60","343.50","325.60","321.50","340.75","339.25","334.14","636.00","308.95",15208306,"5,081,695,182.15",153990
"20-Jun-2022","EQ","331.00","334.60","308.95","333.70","323.50","321.50","317.37","636.00","308.95",20646347,"6,552,598,414.65",248601
"17-Jun-2022","EQ","333.00","342.55","325.85","336.10","334.55","333.70","334.24","636.00","325.85",18606308,"6,218,957,242.55",198992
"16-Jun-2022","EQ","360.40","363.75","332.30","357.50","333.40","336.10","347.32","636.00","332.30",16614475,"5,770,461,003.55",172799
"15-Jun-2022","EQ","360.00","362.90","356.05","358.30","358.10","357.50","359.25","636.00","356.05",8393144,"3,015,223,924.15",115721
"14-Jun-2022","EQ","363.85","369.60","357.35","366.45","358.50","358.30","363.16","636.00","357.35",11273145,"4,093,941,235.60",122936
"13-Jun-2022","EQ","377.80","377.80","360.50","385.75","367.00","366.45","366.90","636.00","359.80",12269608,"4,501,665,229.80",176137
"10-Jun-2022","EQ","390.00","391.80","382.75","399.75","385.75","385.75","386.66","636.00","359.80",14541630,"5,622,722,472.30",158464
"09-Jun-2022","EQ","399.00","402.30","393.40","403.50","400.50","399.75","398.06","636.00","359.80",8798828,"3,502,455,675.00",118619
"08-Jun-2022","EQ","402.00","407.00","401.10","404.20","402.50","403.50","404.12","636.00","359.80",6911005,"2,792,864,999.35",89374
"07-Jun-2022","EQ","407.95","413.00","402.20","409.15","403.25","404.20","406.52","636.00","359.80",7636671,"3,104,450,373.05",79538
"06-Jun-2022","EQ","402.60","410.70","395.95","406.75","410.20","409.15","404.96","636.00","359.80",8810058,"3,567,751,995.20",80127
"03-Jun-2022","EQ","414.00","416.90","405.30","409.90","407.00","406.75","411.01","636.00","359.80",12229014,"5,026,214,684.95",107692
"02-Jun-2022","EQ","408.00","414.40","406.40","410.65","410.25","409.90","409.91","636.00","359.80",7202046,"2,952,209,641.70",85504
"01-Jun-2022","EQ","421.00","422.00","406.20","422.55","410.40","410.65","412.61","636.00","359.80",12551513,"5,178,885,394.90",159704
"31-May-2022","EQ","414.90","428.50","412.00","416.75","427.00","422.55","421.72","636.00","359.80",39115757,"16,495,956,651.40",161904
"30-May-2022","EQ","410.00","419.50","405.60","409.15","416.05","416.75","413.57","636.00","359.80",7161082,"2,961,584,136.15",90188
"27-May-2022","EQ","423.10","426.95","406.10","407.85","408.35","409.15","413.39","636.00","359.80",20350558,"8,412,774,028.80",214428
"26-May-2022","EQ","406.50","410.50","392.60","396.85","407.80","407.85","401.89","636.00","359.80",13391224,"5,381,769,849.50",132525
"25-May-2022","EQ","405.00","405.05","389.70","400.80","397.25","396.85","397.78","636.00","359.80",11103850,"4,416,888,384.10",124065
"24-May-2022","EQ","414.40","415.50","400.00","413.15","401.50","400.80","406.14","636.00","359.80",12840838,"5,215,215,174.10",154536
"23-May-2022","EQ","418.00","420.70","399.35","429.10","414.45","413.15","411.58","636.00","359.80",15828786,"6,514,821,412.90",176789
"20-May-2022","EQ","432.00","435.00","421.05","417.00","428.00","429.10","427.77","636.00","359.80",9703961,"4,151,105,765.40",125338
"19-May-2022","EQ","422.10","425.95","413.80","436.10","417.20","417.00","418.60","636.00","359.80",10319381,"4,319,710,567.75",141591
"18-May-2022","EQ","434.50","438.40","423.50","428.40","435.90","436.10","431.57","636.00","359.80",18052317,"7,790,751,212.35",176880
"17-May-2022","EQ","399.00","437.30","398.05","390.95","429.25","428.40","421.66","636.00","359.80",37772554,"15,927,135,878.25",350372
"16-May-2022","EQ","395.80","400.80","385.00","388.00","393.00","390.95","392.35","636.00","359.80",13900633,"5,453,877,138.75",140183
"13-May-2022","EQ","411.00","414.45","384.95","405.85","386.20","388.00","398.04","636.00","359.80",17007818,"6,769,729,547.30",193648
"12-May-2022","EQ","416.00","422.00","394.60","422.55","406.70","405.85","402.91","636.00","359.80",23831422,"9,601,859,934.30",273285
"11-May-2022","EQ","423.00","429.90","413.95","423.00","426.40","422.55","421.72","636.00","359.80",14197501,"5,987,371,881.80",204243
"10-May-2022","EQ","435.00","442.30","420.30","444.10","422.45","423.00","431.62","636.00","359.80",9661841,"4,170,210,957.40",175395
"09-May-2022","EQ","433.85","448.55","429.50","443.75","443.45","444.10","440.58","636.00","359.80",10773327,"4,746,485,350.05",116458
"06-May-2022","EQ","450.00","454.25","439.00","461.60","444.00","443.75","445.02","636.00","357.65",8595262,"3,825,080,337.20",133914
"05-May-2022","EQ","470.00","475.90","460.20","461.65","461.45","461.60","468.17","636.00","357.65",6328868,"2,962,955,891.35",88523
"04-May-2022","EQ","483.00","483.00","459.00","484.40","461.25","461.65","470.36","636.00","357.65",10366562,"4,875,982,933.95",151046
"02-May-2022","EQ","477.85","486.00","469.50","482.65","484.90","484.40","477.72","636.00","357.65",14625673,"6,987,040,595.45",148776
"29-Apr-2022","EQ","493.00","497.80","479.25","488.60","483.40","482.65","488.77","636.00","345.50",12462169,"6,091,121,009.00",156312
"28-Apr-2022","EQ","502.00","502.00","480.00","492.30","488.50","488.60","483.96","636.00","345.50",25042778,"12,119,681,535.90",141849
"27-Apr-2022","EQ","489.00","497.60","476.45","493.45","491.50","492.30","485.32","636.00","345.50",17623544,"8,553,123,836.85",161050
"26-Apr-2022","EQ","498.00","500.90","489.75","495.50","493.50","493.45","493.55","636.00","345.50",11623406,"5,736,712,335.70",159933
"25-Apr-2022","EQ","502.65","508.50","492.25","514.15","496.25","495.50","498.94","636.00","345.50",10749312,"5,363,217,568.35",158282
"22-Apr-2022","EQ","529.00","529.85","513.30","540.25","514.05","514.15","518.72","636.00","345.30",23871439,"12,382,601,681.55",365161
"21-Apr-2022","EQ","545.00","547.35","531.45","545.00","540.90","540.25","540.67","636.00","345.30",8575442,"4,636,474,950.50",108862
